algoritimo,projeto,mean_acc,mean_gmean,mean_kappa,std_acc,std_gmean,std_kappa,mean_time,seed
OOB,groovy,0.8141906468716069,0.4854149078062856,0.23561938567878485,0.0722633764376762,0.20904984905504206,0.14421896517468322,0.0017387589999984243,451626205
OOB,activemq,0.8174419046558088,0.4248297777176923,0.16507376312094782,0.06428522450121078,0.20682247190787445,0.14156375767537435,0.0017191290000013737,118466446
OOB,camel,0.8275271817753114,0.5589372852357628,0.2665042799437003,0.043090365114034426,0.06951489986397492,0.0617518376497128,0.002799173999999738,127291942
OOB,hbase,0.6998042572179076,0.6600764304235759,0.3419166629810033,0.046538934884631795,0.07013058061203148,0.045086146458516656,0.0018493230000018457,91045693
OOB,zookeeper,0.6838841519161049,0.6365708417363408,0.4188405658189204,0.048672362354815306,0.09120493627278838,0.07684134574699066,0.0012969400000031328,924736187
OOB,hive,0.7005932118344201,0.708048600724811,0.35696127971977315,0.030925114119204254,0.03656269553184989,0.03502119280027244,0.0016490510000011227,925332930
OOB,hadoop-hdfs,0.7388283745519594,0.6953912914438757,0.6953912914438757,0.04573156711542914,0.13988034823198237,0.13988034823198237,0.0012912800000037805,648521273
OOB,hadoop-mapreduce,0.7326966332487203,0.6753609691266069,0.6753609691266069,0.03614056985314285,0.1244267774021135,0.1244267774021135,0.0012178639999973484,543098206
OOB,cassandra,0.7288322605179692,0.6285162537171307,0.2936814507577744,0.04358260251345997,0.11837281509798525,0.10568613233036483,0.0017885800000030372,139111737
OOB,flink,0.8286685581224655,0.46512505732638876,0.3004934621491871,0.10224068830057913,0.313171162420346,0.21443793462071795,0.0018816509999979303,199879464
OOB,spark,0.6841957104992735,0.6392876632250918,0.30081809010649124,0.0433569241568086,0.10326787342617813,0.08517576242711637,0.001368256999995765,708454623
OOB,kafka,0.7181049527539596,0.7267316966448876,0.40622669536571654,0.029605810553653043,0.035014524514099504,0.046620091151743065,0.0013577010000034306,699207463
OOB,zeppelin,0.7595908659790274,0.6064499487056857,0.47032087178203164,0.09927194680833033,0.14462917913104226,0.12633318274206345,0.0012241989999992597,105856398
OOB,ignite,0.8617169256739299,0.5511849081947648,0.5977636042102895,0.07202589133550866,0.27439832995889735,0.2118161143223885,0.002001527000004444,62165366
UOB,groovy,0.7666000149042643,0.5401482127773755,0.19012598721193907,0.0504445171364621,0.08685957554118154,0.05073831881299702,0.001704608000000274,782449002
UOB,activemq,0.7841907681709823,0.5575716888110331,0.24846748448876305,0.06903199183193913,0.07491586260451112,0.08559282675337278,0.0015728450000001004,860868433
UOB,camel,0.7378400232615059,0.6028806116777894,0.2434572832281555,0.04674192677407006,0.057092991248177155,0.04130877526444644,0.0024102159999994655,644585303
UOB,hbase,0.6741033942023903,0.6043161717910814,0.28480419330093615,0.05920806515764722,0.05868409402230254,0.030126008417078385,0.0017397380000012674,996243736
UOB,zookeeper,0.6950803736908979,0.6634148623880612,0.43951109905849417,0.04687494080366602,0.08766646433424378,0.07178128337091091,0.0013131969999999882,120785965
UOB,hive,0.6162059652649974,0.64667932119826,0.28026539186788674,0.03886241562083737,0.026822037341800952,0.039508450389911264,0.0016057900000010505,751198985
UOB,hadoop-hdfs,0.5940291036914727,0.6050285810216061,0.6050285810216061,0.09966579073459593,0.07899568647296944,0.07899568647296944,0.0014389529999974116,297575825
UOB,hadoop-mapreduce,0.7190657638761417,0.6698376163660841,0.6698376163660841,0.04613432228190132,0.11307064157472267,0.11307064157472267,0.0012014960000001906,660113657
UOB,cassandra,0.6898183081631857,0.5413767983939588,0.2082701768971871,0.05080137756753487,0.06563188270473036,0.05411262703899969,0.001789708000000445,442502557
UOB,flink,0.7604997764023202,0.6022073811813682,0.20011006492267505,0.06658444787396717,0.14283831986595644,0.12580182952201993,0.0018316180000006455,774744225
UOB,spark,0.70207778869426,0.6685266687546817,0.3486992633151933,0.04523003240402834,0.10866115949597488,0.09232814535150542,0.0013432140000020354,935685086
UOB,kafka,0.713048828454883,0.7198849756749786,0.40906098022124143,0.01986024447555424,0.03351892822282812,0.037739276665301316,0.0013174369999973123,156158697
UOB,zeppelin,0.7610932105363619,0.6114316663244297,0.46485706899062873,0.09806728846033938,0.1539008187906015,0.12365000795771702,0.001341935999999322,165500453
UOB,ignite,0.8476647947540699,0.5468651085996068,0.5975003916923756,0.08151930937642636,0.2648652491152696,0.2281862467443988,0.0019047900000010998,120262165
AdaptiveRandomForest,groovy,0.8418734784851686,0.4495749468361117,0.21469657006710532,0.05539689993317175,0.19703036393525258,0.14112187788636626,0.0019614079999996648,380968365
AdaptiveRandomForest,activemq,0.8493797898546949,0.5596345838665069,0.2875608446029833,0.05176582264168836,0.2145080753391667,0.17912589253881225,0.0016474829999992835,531939402
AdaptiveRandomForest,camel,0.8766904081045097,0.5198791164712803,0.3142596678194017,0.057123783899284165,0.07226583471805535,0.04769653234533068,0.0029372600000101556,319811975
AdaptiveRandomForest,hbase,0.786085041164437,0.7386826730003666,0.509250852122969,0.028176483249685736,0.0951257245503144,0.08409145270034295,0.0020092560000080084,774850330
AdaptiveRandomForest,zookeeper,0.7314263522033035,0.7158029156771848,0.4632041885496923,0.034414690516809954,0.08194012635626553,0.06922013923900035,0.001291804000004504,332027515
AdaptiveRandomForest,hive,0.7833581423968797,0.7215864230513607,0.4767935587562485,0.045427105161493904,0.03908805147659919,0.07311484589846279,0.0017419710000012856,321560637
AdaptiveRandomForest,hadoop-hdfs,0.8566323580359908,0.7440894736973787,0.7440894736973787,0.07325514566709856,0.2359778421359364,0.2359778421359364,0.0014533169999992879,100194654
AdaptiveRandomForest,hadoop-mapreduce,0.8313162336432439,0.7281707828572999,0.7281707828572999,0.03916033801861044,0.16356692561988442,0.16356692561988442,0.001185112000001709,551453036
AdaptiveRandomForest,cassandra,0.7867713317338669,0.7122649624131118,0.4644552579551553,0.03382923426701001,0.13517740717797264,0.14296641886134875,0.0019588530000049786,238451057
AdaptiveRandomForest,flink,0.8523488279971416,0.5419328481778748,0.38404624734062465,0.08776188222511618,0.30866284963831986,0.24549408335755796,0.002419244999998682,775264342
AdaptiveRandomForest,spark,0.7618365555774768,0.7092139053546054,0.3924347969123236,0.028516748358653875,0.13976804950672378,0.1401588063311686,0.001324878999994894,861725274
AdaptiveRandomForest,kafka,0.7689419042990415,0.741173585189404,0.46091504294828506,0.028537426732295406,0.04797525961930735,0.07959993249951304,0.0013108050000028015,89162007
AdaptiveRandomForest,zeppelin,0.8271175940000999,0.6783527186422511,0.5176486114681769,0.06283067667849941,0.20302085360070563,0.12841350877341265,0.0013280090000051814,541140224
AdaptiveRandomForest,ignite,0.8865333891774418,0.5812685158456354,0.6728080110350059,0.0640830760524191,0.284134516178031,0.18242882424938167,0.0019973060000069154,968917885
CSARF,groovy,0.7359415328619856,0.6771102599430058,0.2660203745789472,0.059079306634815254,0.09486055334348921,0.08645787371899523,0.0019951809999980696,980077910
CSARF,activemq,0.7912911060729572,0.7490162065530194,0.35747110789344483,0.05600797959696407,0.13712818343553965,0.15390700826583378,0.0017179980000037176,76399771
CSARF,camel,0.7839888198079933,0.7257811058345506,0.3108132460871439,0.08476333262390996,0.056940642075520076,0.06723838722673033,0.0030183989999983396,269370252
CSARF,hbase,0.7684450330074314,0.7456969968430597,0.4783499734673095,0.025987691072989812,0.06120108991425719,0.08128808291695545,0.002078370999996082,665952998
CSARF,zookeeper,0.7407502428108695,0.7255609241454134,0.4815686645008677,0.032138969985056075,0.08270507430345442,0.0648371582428516,0.001262799000016912,128889470
CSARF,hive,0.7577365192334061,0.7513713078024299,0.46480399847382453,0.0395057473404683,0.04619899931273439,0.07859029242778819,0.00171958599997879,256754562
CSARF,hadoop-hdfs,0.8419497218058858,0.7629538958827741,0.7629538958827741,0.07578359595592282,0.12773139553914895,0.12773139553914895,0.0014310759999887068,842876702
CSARF,hadoop-mapreduce,0.8161743812367434,0.7517535518724574,0.7517535518724574,0.04405971220102021,0.1347512056776957,0.1347512056776957,0.0012629599999911534,971615687
CSARF,cassandra,0.7580691651689381,0.743025707761143,0.43238187243364795,0.024375737349375245,0.08158828128128857,0.14312496236851868,0.002061023000010209,600575345
CSARF,flink,0.7649840749769093,0.6538822918987267,0.329319798221575,0.0953634295908022,0.19345703590866883,0.18098444639209266,0.0022850040000150784,81510198
CSARF,spark,0.7618123209333939,0.7239669023192914,0.4088461246533158,0.025292565760488665,0.12661835185339781,0.13942826529325184,0.0013925130000131958,942671319
CSARF,kafka,0.7719784030824681,0.7656143537570338,0.48766454605524434,0.024979025348531633,0.03867359718922596,0.0676183562990552,0.001512896000008368,912836471
CSARF,zeppelin,0.8137405141355778,0.7254813292778984,0.5744133370377384,0.0678298598221853,0.1697115370976564,0.101124337324614,0.001375833999986753,841437564
CSARF,ignite,0.7995679182118495,0.64559952469454,0.6071420729872999,0.1104843990347329,0.3137856271431054,0.22216193393206302,0.002432746000010866,974357477
KUE,groovy,0.8025998779996073,0.3074401743187112,0.09666815269819298,0.08767812064449088,0.19487932315878498,0.08896445988051652,0.0018594069999977592,827012463
KUE,activemq,0.8063850270346783,0.2882544312929363,0.09230696149038829,0.07804281026389731,0.18064522099753652,0.08268135874512629,0.0016980720000105975,73960704
KUE,camel,0.8590498960135184,0.38503844366830103,0.17451015535946096,0.06577507994058443,0.11196149164705058,0.06489886680949156,0.002998824000002287,724601928
KUE,hbase,0.7145139674327403,0.597990966963337,0.3054563978051513,0.0537312430728321,0.23808263025467097,0.1647143022455698,0.0017570129999882056,812937357
KUE,zookeeper,0.5222009110863775,0.0,0.04979789067808443,0.07026606616796922,0.0,0.1251837150602981,0.0013135530000027984,980893237
KUE,hive,0.6259509996765545,0.545212528567052,0.12951564273798907,0.1470381054653502,0.23503478937060746,0.08782890282787717,0.001683275000004869,622958002
KUE,hadoop-hdfs,0.6925345475137976,0.4841768037929431,0.4841768037929431,0.11612110182075293,0.36557289163995194,0.36557289163995194,0.001465152999998054,925999827
KUE,hadoop-mapreduce,0.5870291928808313,0.10981547661576936,0.10981547661576936,0.15817448994191813,0.20517410472404354,0.20517410472404354,0.0012372380000016392,903491287
KUE,cassandra,0.7273512271142768,0.564239892787774,0.25529505130086977,0.05566440993889627,0.22090965680055652,0.1232191380480124,0.001841362000007507,468809824
KUE,flink,0.8206019612470984,0.45583517020385095,0.24983013525036604,0.11309042979064486,0.25950521770932494,0.165800131117399,0.001889640000001691,109810543
KUE,spark,0.5371003481832026,0.08702162344090004,0.008421566668290989,0.11674622354824643,0.13372806747490085,0.048579177902824025,0.001196397999990495,632435325
KUE,kafka,0.4882883258064485,0.3037964774702613,0.03923472717010109,0.14348548712397413,0.26904860941154735,0.04665152066161197,0.0012957960000079538,415052581
KUE,zeppelin,0.6569986712970365,0.11392470020339976,0.1484454262190214,0.16718240445445834,0.17495937895894006,0.22251936676986467,0.0012596299999927396,747035843
KUE,ignite,0.8584156319608814,0.4140716136706517,0.4805924436915551,0.07505022434667108,0.25756742494297513,0.2710142265691326,0.0019426639999977624,545407752
ROSE,groovy,0.8331538858409129,0.5351546469250539,0.2644329645484466,0.0536372589930172,0.18205172331694702,0.14118572013198058,0.001959925999997836,731906967
ROSE,activemq,0.8383405009268973,0.6122645900398728,0.33255003511606296,0.053105948289950744,0.20430071405503286,0.17289449338368743,0.0017535709999947358,544503279
ROSE,camel,0.8607790148668466,0.5879381014570234,0.33454560276441186,0.06033620915794079,0.0748139356962655,0.06385669326417258,0.0029855900000015367,419059821
ROSE,hbase,0.7613248745418331,0.7313529436431816,0.46866319015842767,0.02650729001338165,0.08330310989311478,0.09753047471541838,0.0020817679999964867,892864591
ROSE,zookeeper,0.7044634183508127,0.668359182957175,0.4357888832721452,0.04090193702085846,0.08847312337986922,0.06727015755228546,0.001297030000003474,786585589
ROSE,hive,0.7752252830975562,0.7484578637220102,0.4644208486164467,0.03540836303311238,0.034639655300520766,0.06305218330906932,0.0018589840000018398,170138027
ROSE,hadoop-hdfs,0.8444520335120326,0.7569686012299567,0.7569686012299567,0.06504204867551498,0.19320039836245476,0.19320039836245476,0.0014182660000017222,640748195
ROSE,hadoop-mapreduce,0.811344736395693,0.6883000636693346,0.6883000636693346,0.03832335766678874,0.22493545741203796,0.22493545741203796,0.0012247939999951996,312012035
ROSE,cassandra,0.7724792415564828,0.6986766945700322,0.42201546757469593,0.03243933162806532,0.13134121042953809,0.13331307034778014,0.0019225389999988352,35708312
ROSE,flink,0.8485325931782075,0.5760880979122689,0.3838404928437435,0.08293410757501643,0.2685621754717322,0.23235230351414995,0.002055366999996977,154954588
ROSE,spark,0.7160198635103401,0.6761511261663972,0.32830329670762587,0.03359916549139192,0.11615884476584505,0.10851323200458671,0.0013547179999875425,487010144
ROSE,kafka,0.7403709103774526,0.7315358323908284,0.41838593758417836,0.02439379195662869,0.040489180747370325,0.06739454483799966,0.0014756970000036063,40099995
ROSE,zeppelin,0.7907214285698252,0.6642383254084989,0.48712114364481707,0.07190086043175532,0.1675668119955204,0.12197632376688042,0.0012573599999967655,138413630
ROSE,ignite,0.8776302374037462,0.606362714764828,0.6718003781731418,0.06674625991455464,0.2950586721674019,0.1816966673878426,0.0020351330000067946,865616197
StreamingRandomPatches,groovy,0.8322167334477012,0.44468353346396067,0.21797633150826162,0.06784327248004901,0.15066848150590606,0.10286595158121759,0.0024507560000017747,296312153
StreamingRandomPatches,activemq,0.8162750210053535,0.5066829989711666,0.23814525400834172,0.06922644201790636,0.1892725744361325,0.14500953091083613,0.0020955909999997857,777255602
StreamingRandomPatches,camel,0.8696502598063004,0.4264187063656941,0.24044183539757716,0.06311201235539236,0.07268415536326742,0.04294327429333988,0.004649674000006598,404654160
StreamingRandomPatches,hbase,0.7666959015037065,0.715663707398147,0.4742492609873712,0.034114567807631314,0.10861570186558817,0.09769326260864647,0.0026422540000226036,744159689
StreamingRandomPatches,zookeeper,0.756797245045196,0.7374197183226295,0.5269985775192824,0.02861331219228508,0.09464126737626136,0.05354236590356101,0.0014386469999863039,509286733
StreamingRandomPatches,hive,0.7848006693212939,0.7056710322297713,0.47396283840126574,0.03858871812555646,0.03704121107621766,0.056621641174324354,0.0019354719999853387,984220863
StreamingRandomPatches,hadoop-hdfs,0.8567542069627437,0.7409939724770656,0.7409939724770656,0.07208189258177991,0.2248103523020122,0.2248103523020122,0.001634364000011601,127456163
StreamingRandomPatches,hadoop-mapreduce,0.824211298263435,0.6826586002670678,0.6826586002670678,0.03817626443605058,0.23379782770238644,0.23379782770238644,0.0012700199999926554,400974586
StreamingRandomPatches,cassandra,0.7737747316466445,0.6918006785053367,0.43436552489415764,0.0371108557829148,0.1423252044584949,0.12658629206324196,0.002393850999993674,850227119
StreamingRandomPatches,flink,0.8485690300419814,0.532420273278897,0.3714806556730949,0.08937159952723596,0.31495152714399977,0.24820962434462465,0.00277523100001531,696142704
StreamingRandomPatches,spark,0.7403745507581576,0.6863780674823262,0.3821675682845563,0.041256590405261084,0.13311550167512065,0.11733728303008989,0.0014722210000002178,643034166
StreamingRandomPatches,kafka,0.7672112432023556,0.7191922259789246,0.4269637303689916,0.026289602398298494,0.06238250277764176,0.08311623499341607,0.001428117000017437,996454455
StreamingRandomPatches,zeppelin,0.8235440778969582,0.6722169631934207,0.508446214219918,0.06416237461738354,0.20392811124029503,0.1298303829485474,0.0012786780000055842,680550241
StreamingRandomPatches,ignite,0.8739649340053317,0.5495945376666789,0.6394210525054125,0.06971305665960333,0.26903317427018414,0.202827159321546,0.0028453099999978804,512706501
